grid_id,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,color,cluster_id
102,450,100,48,0.694444444,2.459246584,12.21276168,29,94,green,0
102,451,100,44,0.689655172,1.359934866,5.12683795,15,73,green,0
102,452,100,88,0.689655172,1.960262929,6.993006993,52,90,green,0
102,456,20,2352,5.401257522,6.250846051,7.10043458,86,115,red,0
102,470,100,27,0.689655172,1.500638271,3.846546291,84,64,green,0
102,484,100,32,0.680272109,1.665507708,2.898550725,77,66,green,0
102,488,20,330,8.949974347,8.949974347,8.949974347,87,117,red,0
102,507,100,40,0.684931507,1.341597125,3.546099291,83,74,green,0
102,663,20,256,2.863267796,6.860994016,9.740131662,7,63,red,0
102,664,20,255,5.717913297,6.455426558,7.748438571,13,76,red,0
102,666,20,169,8.710786533,9.856466495,11.53316259,14,85,red,0
102,668,20,770,3.590858812,5.015523532,7.232651792,22,61,red,0
102,669,20,289,3.540985773,5.009356956,6.402461429,27,61,red,0
102,685,20,819,1.418439716,4.981120509,9.027777778,3,84,red,0
102,687,20,627,2.242750114,4.807450442,7.02788505,43,66,red,0
102,689,20,1617,3.149391518,4.468585857,5.93252608,-4,75,red,0
102,693,20,646,2.9877577,4.349709012,6.492636942,15,61,red,0
102,697,20,741,3.540985773,4.437563128,7.181717625,18,72,red,0
102,698,20,851,2.165943603,4.55707656,8.489336,-5,78,red,0
102,701,20,806,2.945075447,4.417079615,6.146765284,0,70,red,0
102,705,20,544,2.824044949,4.290801728,6.779076807,17,61,red,0
102,706,20,2128,2.539120617,4.077999212,6.680829317,2,73,red,0
102,709,20,880,2.863267796,4.227591915,6.497830809,6,86,red,0
102,711,20,589,3.540985773,4.386890354,6.538684012,-1,65,red,0
102,721,20,1520,2.945075447,4.738372132,6.447233886,10,80,red,0
102,727,20,1330,4.385701532,5.679354832,7.336718725,0,62,red,0
102,731,20,660,3.765849515,6.252744316,8.567271169,1,68,red,0
102,736,20,960,4.422765958,5.387186321,6.492636942,19,88,red,0
102,738,20,588,3.194382825,5.569786843,7.232651792,2,69,red,0
102,741,20,740,3.127367801,5.55686025,8.086350533,0,83,red,0
102,744,20,665,5.252257314,6.873915697,9.197864642,26,61,red,0
102,745,20,777,3.171727628,5.326234495,7.232651792,-5,81,red,0
102,746,20,513,3.565747912,5.205420542,6.632765797,11,71,red,0
102,747,20,735,3.765849515,5.957638641,8.89878912,18,89,red,0
102,748,20,176,3.713906764,5.680433231,6.924695606,11,70,red,0
102,750,20,1386,4.485500227,6.000143393,9.395538073,1,75,red,0
