,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,cluster_id
32,1670,100,117,2.1512092926315507,4.118995316668478,6.016904045998262,318,366,0
33,1692,100,893,5.758755534498963,5.758755534498963,5.758755534498963,311,375,0
34,1704,100,234,0.7092198581560284,2.926130994150045,5.884859670290911,318,329,0
35,1714,100,231,3.1717276276592763,3.758597431246875,5.410911240468825,295,333,0
36,1736,20,28,7.985957062499249,7.985957062499249,7.985957062499249,379,327,0
37,1739,20,154,4.594660227739293,6.725398255273169,8.249199667794171,316,342,0
38,1743,20,322,0.7299270072992701,3.888665010691312,7.460601551439856,331,356,0
39,1768,100,372,4.777748521530727,5.2393303468626815,5.700912172194638,329,372,0
40,1772,100,646,2.883290647285077,5.216111207487961,9.404761120718227,329,348,0
41,1781,100,420,1.9779210662560769,3.637493511691178,4.729729729729731,339,373,0
42,1806,20,100,7.7592305202442695,8.118002626696336,8.476774733148401,372,374,0
43,1950,20,720,12.147141024811747,14.493964439857569,17.40055629129183,351,349,1
44,1963,20,5106,10.30059069300457,13.480287129333544,17.646080669399886,323,341,1
45,2008,20,928,4.485500227189192,6.929464645274353,8.84553191655491,291,332,0
46,2026,20,1215,5.126837950197547,7.333281391843169,10.326397006071655,381,324,0
47,2031,20,210,2.9877751317741437,9.160502039336276,29.99771367602457,324,336,0
48,2034,20,143,2.521364528296496,6.316117309783441,8.012336167697756,354,349,0
49,2182,20,238,8.072206834979053,8.072206834979053,8.072206834979053,375,335,0
50,2190,20,90,16.677075744396276,17.897361401609906,19.11764705882353,307,371,1
51,2329,100,475,8.027729719194863,20.678516924947953,45.96441106464256,300,353,1
52,2339,20,287,0.11723329425556855,2.2519484578488043,19.50639396376683,352,327,0
53,2453,20,24,2.8571428571428568,3.850169994278783,4.843197131414709,291,367,0
54,2525,20,32,4.3558668281856106,6.330207406779804,8.304547985373997,329,359,0
55,2624,3,2496,1.0878565864408425,2.019322767182035,3.4246575342465757,289,361,0
56,2636,20,3700,7.551419297238468,10.61067780734536,12.537947444476108,295,351,1
57,2665,20,126,2.666666666666667,3.69960573382454,5.800185430430611,305,366,0
58,2725,20,2666,8.160832034670769,9.37191203737279,11.260773987409015,304,347,1
59,2736,100,1440,1.7870395491563502,1.7870395491563502,1.7870395491563502,289,325,0
60,2739,20,1802,0.6493506493506493,1.1656243441536602,2.3956648940669543,292,332,0
61,2748,20,323,5.397761688446928,7.220287228281184,10.45096427976376,299,345,0
62,2777,20,638,5.055631867555915,6.2446501340348295,7.433668400513742,291,328,0
63,2810,20,2552,0.6535947712418301,2.2065999439600765,4.896499220802459,302,377,0
64,2819,20,54,0.6622516556291391,1.4483714561648806,3.616325896165096,300,329,0
65,2822,100,255,0.6535947712418301,1.7185720205356902,4.509242420727358,291,360,0
66,2828,100,144,0.7462686567164178,2.060654883915066,4.40779893499871,368,361,0
67,2832,20,54,0.42105263157894735,1.5835120394917,6.578947368421053,334,367,0
68,2889,100,528,2.097902097902098,3.454600357641284,6.148754619013458,299,353,0
69,2893,20,63,0.141643059490085,1.527240001370353,5.677646301618696,335,348,0
70,2905,20,20,0.6711409395973155,1.7468791736569975,8.441558441558442,372,348,0
71,2989,100,576,3.376834114962109,5.1836126033013405,6.985005533188727,314,332,0
